Gender,Age Group,Industry,Work Experience in your current job,Which of the following social media do you mostly access while at work? (indicate more than one where applicable),Which devices do you use to access social media sites while at work ? (indicate more than one where applicable),Frequency of social media usage while at work,"If you are a daily user, how often do you access social media sites while at work ","Usually, How much time do you spend on social media sites with each log in",Why do you use the social media for (indicate more than one where applicable),I almost always perform better than an accepted level,I often manage workload during office hours,I often Choose to take on additional tasks at work,The Quality of my work is Top-grade,I often introduce innovative approaches to traditional work practices
Female,26 - 30 years,IT,1-3 Years,WhatsApp;Google+,Laptop,Daily,2-4 times a day,Less than a minute,To keep in touch with friends,4,5,5,5,5
Female,26 - 30 years,IT,more than 5 years,Viber,Laptop;Smart Phone,Daily,2-4 times a day,more than 10 minutes,To keep in touch with friends,5,5,5,5,4
Female,26 - 30 years,IT,more than 5 years,WhatsApp,Desktop;Smart Phone,Daily,more than 5 times,1-5 minutes,To keep in touch with friends;To build business contacts;For news and general information;To find solutions to job queries,3,4,4,4,3
Male,26 - 30 years,IT,3-5 years,Facebook;Viber;LinkedIn;YouTube,Laptop,Daily,2-4 times a day,6-10 minutes,To keep in touch with friends;To build business contacts;For news and general information,4,4,3,4,4
Female,26 - 30 years,IT,3-5 years,Never use Social media while at work,Not Applicable,Never,Not Applicable,more than 10 minutes,For news and general information,4,4,2,3,3
Female,26 - 30 years,Apparel,3-5 years,Facebook;YouTube;Others,Laptop;Smart Phone,Daily,2-4 times a day,6-10 minutes,For news and general information;Others,4,4,4,3,4
Male,26 - 30 years,IT,more than 5 years,Facebook;WhatsApp;Viber,Laptop;Smart Phone,Daily,Within every hour,1-5 minutes,To keep in touch with friends;For news and general information;For entertainment and to kill time,4,4,3,4,4
Male,26 - 30 years,IT,more than 5 years,Facebook;WhatsApp,Laptop;Smart Phone,Daily,2-4 times a day,1-5 minutes,Others,4,4,3,4,5
Male,Less than 25,IT,3-5 years,Facebook;WhatsApp,Smart Phone,Daily,2-4 times a day,Less than a minute,For news and general information,5,4,2,5,5
Male,26 - 30 years,IT,3-5 years,Facebook;WhatsApp;Viber;LinkedIn;YouTube,Smart Phone,Daily,Once a Day,Less than a minute,To keep in touch with friends;Others,4,2,2,4,4
Male,26 - 30 years,Banking,1-3 Years,Facebook;Instagram;WhatsApp,Smart Phone,Daily,Within every hour,1-5 minutes,To keep in touch with friends;For news and general information;For entertainment and to kill time,3,2,1,4,1
Male,Less than 25,IT,Less than 1 year,Facebook;Instagram;WhatsApp;YouTube,Desktop;Smart Phone,Daily,Within every hour,6-10 minutes,To keep in touch with friends;For entertainment and to kill time,2,1,2,5,2
Female,31 - 35 years,Banking,more than 5 years,Never use Social media while at work,Not Applicable,Never,Not Applicable,Not Applicable,Others,5,4,5,5,4
Male,31 - 35 years,Banking,3-5 years,Facebook;WhatsApp,Smart Phone,Daily,more than 5 times,more than 10 minutes,To keep in touch with friends;For entertainment and to kill time,1,2,1,4,1
Male,31 - 35 years,Apparel,3-5 years,Never use Social media while at work,Not Applicable,Never,Not Applicable,Not Applicable,Others,5,4,5,5,4
Female,Less than 25,Banking,Less than 1 year,Facebook;Instagram;WhatsApp;Viber,Smart Phone,Daily,more than 5 times,6-10 minutes,To keep in touch with friends;Others,1,3,1,3,1
Male,31 - 35 years,Apparel,3-5 years,WhatsApp,Smart Phone,Daily,Once a Day,1-5 minutes,To keep in touch with friends,3,3,3,4,4
Male,31 - 35 years,Banking,3-5 years,Never use Social media while at work,Not Applicable,Never,Not Applicable,Not Applicable,Others,5,4,4,5,4
Female,26 - 30 years,Banking,1-3 Years,Facebook;WhatsApp,Smart Phone,Daily,more than 5 times,more than 10 minutes,To keep in touch with friends,4,1,2,1,1
Female,36 -40 years,Banking,more than 5 years,Others,Not Applicable,Daily,Not Applicable,Not Applicable,Others,5,4,5,5,5
Female,Less than 25,Banking,Less than 1 year,Facebook;Instagram;WhatsApp,Smart Phone,Daily,Within every hour,6-10 minutes,To keep in touch with friends;For news and general information,3,1,2,1,2
Male,31 - 35 years,Banking,more than 5 years,Facebook;WhatsApp;Viber,Smart Phone,Daily,2-4 times a day,6-10 minutes,To keep in touch with friends;For news and general information,2,1,3,2,1
Female,Less than 25,Banking,1-3 Years,Facebook;WhatsApp;Viber,Smart Phone,Daily,2-4 times a day,1-5 minutes,To keep in touch with friends;For entertainment and to kill time,1,2,3,2,3
Male,over 40 years,IT,more than 5 years,Facebook;Instagram;WhatsApp;LinkedIn,Smart Phone,Once a month,Not Applicable,1-5 minutes,To keep in touch with friends;To build business contacts,4,5,4,5,4
